"playerID","yearID","AB","H","BB","HBP","X2B","X3B","HR","SF","Games","POS","birthYear","birthMonth","birthDay","Age","Age_centered","SLG","OBP","wRC_plus"
"jennija01",2003,54,12,5,0,3,0,0,1,225,"P",1978,7,17,24,-6,0.277777777777778,0.283333333333333,87.1111111111111
"johnsch04",2003,356,82,49,1,20,0,20,7,1156,"C",1971,7,20,31,1,0.455056179775281,0.319612590799031,116.687569714612
"kaplega01",2003,67,15,8,0,2,0,0,0,1012,"OF",1975,7,31,27,-3,0.253731343283582,0.306666666666667,88.1850746268657
"nortogr01",2003,179,47,16,1,15,0,6,1,606,"3B",1972,7,6,30,0,0.446927374301676,0.3248730964467,116.577716019624
"oliveda02",2003,67,17,3,1,3,0,1,0,721,"P",1970,10,6,32,2,0.343283582089552,0.295774647887324,97.8663022913601
"paytoja01",2003,600,181,43,7,32,5,28,3,1185,"OF",1972,11,22,30,0,0.511666666666667,0.35375191424196,130.19201123022
"reyesre01",2003,116,30,5,0,7,1,2,1,57,"OF",1978,2,21,25,-5,0.387931034482759,0.286885245901639,102.070378745054
"stynech01",2003,443,113,48,6,31,3,11,2,709,"2B",1973,1,19,30,0,0.413092550790068,0.334669338677355,113.942512564633
"sweenma01",2003,97,25,9,0,9,0,2,0,461,"1B",1969,10,26,33,3,0.412371134020619,0.320754716981132,111.344096479284
"uribeju01",2003,316,80,17,3,19,3,10,1,1794,"SS",1979,3,22,24,-6,0.427215189873418,0.29673590504451,108.950437591556
"walkela01",2003,454,129,98,11,25,7,16,1,1229,"OF",1966,12,1,36,6,0.475770925110132,0.421985815602837,137.807667072828
"wilsopr01",2003,600,169,54,4,43,1,36,3,1059,"OF",1974,7,19,28,-2,0.536666666666667,0.343419062027231,131.582097831568
"womacto01",2003,79,15,0,1,2,0,0,0,1239,"2B",1969,9,25,33,3,0.215189873417722,0.2,63.9746835443038
"barmecl01",2004,71,20,3,1,3,1,2,0,1166,"SS",1979,3,6,25,-5,0.436619718309859,0.32,114.360563380282
